Date,DayOfWeek,IsWeekend,IsHoliday,Weather,Temperature,GuestCount
2021-08-01,6,1,0,Clear,31,119
2021-08-02,0,0,0,Clear,29,58
2021-08-03,1,0,0,Cloudy,29,52
2021-08-04,2,0,0,Cloudy,27,51
2021-08-05,3,0,0,Cloudy,27,79
2021-08-06,4,0,0,Rainy,26,55
2021-08-07,5,1,0,Cloudy,27,135
2021-08-08,6,1,0,Cloudy,29,89
2021-08-09,0,0,0,Cloudy,29,42
2021-08-10,1,0,0,Clear,29,105
2021-08-11,2,0,0,Clear,29,101
2021-08-12,3,0,0,Clear,29,49
2021-08-13,4,0,0,Rainy,25,12
2021-08-14,5,1,0,Rainy,26,67
2021-08-15,6,1,0,Clear,32,76
2021-08-16,0,0,0,Rainy,24,19
2021-08-17,1,0,0,Clear,32,47
2021-08-18,2,0,0,Clear,30,21
2021-08-19,3,0,0,Clear,29,68
2021-08-20,4,0,0,Clear,29,46
2021-08-21,5,1,0,Rainy,24,90
2021-08-22,6,1,1,Clear,31,223
2021-08-23,0,0,0,Clear,32,68
2021-08-24,1,0,0,Rainy,24,49
2021-08-25,2,0,0,Cloudy,27,45
2021-08-26,3,0,0,Clear,32,20
2021-08-27,4,0,0,Clear,30,65
2021-08-28,5,1,0,Clear,31,151
2021-08-29,6,1,0,Cloudy,27,153
2021-08-30,0,0,0,Clear,29,73
2021-08-31,1,0,0,Clear,30,61
2021-09-01,2,0,0,Clear,31,88
2021-09-02,3,0,0,Clear,31,40
2021-09-03,4,0,0,Rainy,26,63
2021-09-04,5,1,0,Clear,29,96
2021-09-05,6,1,0,Clear,29,167
2021-09-06,0,0,0,Clear,29,62
2021-09-07,1,0,0,Cloudy,28,43
2021-09-08,2,0,0,Cloudy,28,28
2021-09-09,3,0,0,Clear,29,85
2021-09-10,4,0,0,Clear,30,49
2021-09-11,5,1,0,Clear,30,141
2021-09-12,6,1,0,Clear,29,161
2021-09-13,0,0,0,Clear,32,61
2021-09-14,1,0,0,Cloudy,28,44
2021-09-15,2,0,0,Clear,29,89
2021-09-16,3,0,0,Cloudy,28,26
2021-09-17,4,0,0,Cloudy,27,49
2021-09-18,5,1,0,Clear,29,105
2021-09-19,6,1,0,Rainy,26,82
2021-09-20,0,0,1,Cloudy,27,169
2021-09-21,1,0,0,Clear,29,64
2021-09-22,2,0,0,Cloudy,29,84
2021-09-23,3,0,0,Clear,30,64
2021-09-24,4,0,0,Cloudy,28,66
2021-09-25,5,1,0,Rainy,25,87
2021-09-26,6,1,0,Cloudy,28,89
2021-09-27,0,0,0,Clear,32,84
2021-09-28,1,0,0,Clear,29,64
2021-09-29,2,0,0,Clear,31,69
2021-09-30,3,0,0,Clear,30,34
2021-10-01,4,0,0,Rainy,24,10
2021-10-02,5,1,0,Clear,32,119
