Date,GuestCount
2021-08-01,119
2021-08-02,58
2021-08-03,52
2021-08-04,51
2021-08-05,79
2021-08-06,55
2021-08-07,135
2021-08-08,89
2021-08-09,42
2021-08-10,105
2021-08-11,101
2021-08-12,49
2021-08-13,12
2021-08-14,67
2021-08-15,76
2021-08-16,19
2021-08-17,47
2021-08-18,21
2021-08-19,68
2021-08-20,46
2021-08-21,90
2021-08-22,223
2021-08-23,68
2021-08-24,49
2021-08-25,45
2021-08-26,20
2021-08-27,65
2021-08-28,151
2021-08-29,153
2021-08-30,73
2021-08-31,61
2021-09-01,88
2021-09-02,40
2021-09-03,63
2021-09-04,96
2021-09-05,167
2021-09-06,62
2021-09-07,43
2021-09-08,28
2021-09-09,85
2021-09-10,49
2021-09-11,141
2021-09-12,161
2021-09-13,61
2021-09-14,44
2021-09-15,89
2021-09-16,26
2021-09-17,49
2021-09-18,105
2021-09-19,82
2021-09-20,169
2021-09-21,64
2021-09-22,84
2021-09-23,64
2021-09-24,66
2021-09-25,87
2021-09-26,89
2021-09-27,84
2021-09-28,64
2021-09-29,69
2021-09-30,34
2021-10-01,10
2021-10-02,119
2021-10-03,104
2021-10-04,19
2021-10-05,78
2021-10-06,36
2021-10-07,55
2021-10-08,10
2021-10-09,59
2021-10-10,75
2021-10-11,10
2021-10-12,40
2021-10-13,10
2021-10-14,14
2021-10-15,10
2021-10-16,44
2021-10-17,59
2021-10-18,28
2021-10-19,135
2021-10-20,167
2021-10-21,70
2021-10-22,14
2021-10-23,97
2021-10-24,60
2021-10-25,50
2021-10-26,15
2021-10-27,80
2021-10-28,60
2021-10-29,76
2021-10-30,88
2021-10-31,112
2021-11-01,82
2021-11-02,27
2021-11-03,24
2021-11-04,85
2021-11-05,32
2021-11-06,148
2021-11-07,56
2021-11-08,10
2021-11-09,58
2021-11-10,10
2021-11-11,29
2021-11-12,10
2021-11-13,93
2021-11-14,84
2021-11-15,10
2021-11-16,10
2021-11-17,42
2021-11-18,112
2021-11-19,44
2021-11-20,132
2021-11-21,85
2021-11-22,48
2021-11-23,42
2021-11-24,59
2021-11-25,38
2021-11-26,91
2021-11-27,64
2021-11-28,162
2021-11-29,25
2021-11-30,15
2021-12-01,68
2021-12-02,57
2021-12-03,14
2021-12-04,147
2021-12-05,66
2021-12-06,62
2021-12-07,34
2021-12-08,61
2021-12-09,39
2021-12-10,104
2021-12-11,144
2021-12-12,137
2021-12-13,19
2021-12-14,45
2021-12-15,59
2021-12-16,103
2021-12-17,29
2021-12-18,168
2021-12-19,104
2021-12-20,58
2021-12-21,28
2021-12-22,21
2021-12-23,66
2021-12-24,49
2021-12-25,250
2021-12-26,154
2021-12-27,53
2021-12-28,98
2021-12-29,29
2021-12-30,32
2021-12-31,10
2022-01-01,83
2022-01-02,137
2022-01-03,79
2022-01-04,62
2022-01-05,28
2022-01-06,67
2022-01-07,19
2022-01-08,101
2022-01-09,170
2022-01-10,56
2022-01-11,63
2022-01-12,78
2022-01-13,80
2022-01-14,150
2022-01-15,90
2022-01-16,100
2022-01-17,159
2022-01-18,28
2022-01-19,55
2022-01-20,76
2022-01-21,62
2022-01-22,144
2022-01-23,133
2022-01-24,65
2022-01-25,81
2022-01-26,74
2022-01-27,49
2022-01-28,41
2022-01-29,125
2022-01-30,142
2022-01-31,61
2022-02-01,62
2022-02-02,34
2022-02-03,54
2022-02-04,148
2022-02-05,108
2022-02-06,164
2022-02-07,78
2022-02-08,41
2022-02-09,79
2022-02-10,37
2022-02-11,64
2022-02-12,146
2022-02-13,152
2022-02-14,96
2022-02-15,66
2022-02-16,53
2022-02-17,72
2022-02-18,10
2022-02-19,96
2022-02-20,114
2022-02-21,65
2022-02-22,71
2022-02-23,67
2022-02-24,27
2022-02-25,40
2022-02-26,136
2022-02-27,149
2022-02-28,55
2022-03-01,172
2022-03-02,35
2022-03-03,92
2022-03-04,65
2022-03-05,183
2022-03-06,122
2022-03-07,65
2022-03-08,27
